,title,link
120,Guru Besar FK UNAIR Respons Ramainya Kasus Gagal Ginjal Akut pada Anak,https://www.unair.ac.id/guru-besar-fk-unair-respons-ramainya-kasus-gagal-ginjal-akut-pada-anak/
121,UNAIR Ajak Universiti Kebangsaan Malaysia dalam Program Joint Class,https://www.unair.ac.id/unair-ajak-universiti-kebangsaan-malaysia-dalam-program-joint-class/
122,"Soroti Tragedi Kanjuruhan, Airlangga Forum Ulas Urgensi Sportivitas dan Mindset Suporter",https://www.unair.ac.id/soroti-tragedi-kanjuruhan-airlangga-forum-ulas-urgensi-sportivitas-dan-mindset-suporter/
123,"Diaphragmatic Breathing, Bukan Sekadar Bernapas",https://www.unair.ac.id/diaphragmatic-breathing-bukan-sekadar-bernapas/
124,"Bicara Soal Seksualitas, Jurnalis dan Dokter Obgyn UNAIR Berikan Edukasi",https://www.unair.ac.id/bicara-soal-seksualitas-jurnalis-dan-dokter-obgyn-unair-berikan-edukasi/
125,"G20, Hegemoni, dan Spirit Tak Berpuas Diri",https://www.unair.ac.id/g20-hegemoni-dan-spirit-tak-berpuas-diri/
126,Dosen HTN FH UNAIR Jelaskan Kondisi Penerapan Konstitusi di Indonesia,https://www.unair.ac.id/dosen-htn-fh-unair-jelaskan-kondisi-penerapan-konstitusi-di-indonesia/
127,"Wakili Wisudawan, Aswin Ajak Mahasiswa Gencarkan Publikasi Ilmiah",https://www.unair.ac.id/wakili-wisudawan-aswin-ajak-mahasiswa-gencarkan-publikasi-ilmiah/
128,"Ulitha Hijab Nusantara, Inovasi Fesyen Muslim Besutan Mahasiswa UNAIR",https://www.unair.ac.id/ulitha-hijab-nusantara-inovasi-fesyen-muslim-besutan-mahasiswa-unair/
129,"Sambut Mahasiswa Studi di UK, IKA UNAIR Berikan Tips Sukses Kuliah di UK",https://www.unair.ac.id/sambut-mahasiswa-studi-di-uk-ika-unair-berikan-tips-sukses-kuliah-di-uk/
130,"Bukan Ternak Pangan, Bahaya Konsumsi Daging Kucing",https://www.unair.ac.id/konsep-otomatisbukan-ternak-pangan-bahaya-konsumsi-daging-kucing/
131,Kenali Stroke pada Anak,https://www.unair.ac.id/kenali-stroke-pada-anak/
132,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric",https://www.unair.ac.id/kontribusi-terhadap-keberlanjutan-lingkungan-unair-raih-4-trees-rating-dari-ui-greenmetric/
133,FK UNAIR Sambut 31 PPDS Program Hybrid TNI,https://www.unair.ac.id/fk-unair-sambut-31-ppds-program-hybrid-tni/
134,Dekan FH UNAIR: Pendidikan Hukum Harus Berubah Agar Dapat Mencetak Pemimpin Masa Depan,https://www.unair.ac.id/dekan-fh-unair-pendidikan-hukum-harus-berubah-agar-dapat-mencetak-pemimpin-masa-depan/
135,"Jalani Hidup Sehat, Ini Yang Perlu Disiapkan",https://www.unair.ac.id/jalani-hidup-sehat-ini-yang-perlu-disiapkan/
136,"5 Mahasiswa UNAIR Ikuti Student Exchange dan Konferensi di Thailand, Malaysia, dan Singapura",https://www.unair.ac.id/5-mahasiswa-unair-ikuti-student-exchange-dan-konferensi-di-thailand-malaysia-dan-singapura/
137,Departemen Komunikasi UNAIR Gelar Kuliah Tamu Kesehatan Mental Remaja,https://www.unair.ac.id/departemen-komunikasi-unair-gelar-kuliah-tamu-kesehatan-mental-remaja/
138,Waspadai Resistensi Antibiotik Saat Sakit,https://www.unair.ac.id/waspadai-resistensi-antibiotik-saat-sakit/
139,"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak",https://www.unair.ac.id/dosen-toksikologi-unair-paparkan-toksisitas-etilen-glikol-senyawa-kimia-yang-diduga-penyebab-gagal-ginjal-akut-pada-anak/
140,Dosen UNAIR Dorong Percepatan Kastrasi Jantan untuk Tekan Populasi Kucing Liar,https://www.unair.ac.id/dosen-unair-dorong-percepatan-kastrasi-jantan-untuk-tekan-populasi-kucing-liar/
